policy,station_id,n_test,n_positive,n_protected,n_protected_positive,n_unprotected_positive,n_protected_negative
blind_work,209,1054,343,0,0,343,0
blind_work,215,1045,230,0,0,230,0
blind_work,225,1026,394,0,0,394,0
blind_work,235,1054,245,0,0,245,0
blind_work,240,1054,218,0,0,218,0
blind_work,242,1054,401,0,0,401,0
blind_work,248,1054,197,0,0,197,0
blind_work,249,1054,201,0,0,201,0
blind_work,251,1028,278,0,0,278,0
blind_work,258,1034,332,0,0,332,0
blind_work,260,1054,119,0,0,119,0
blind_work,267,1054,235,0,0,235,0
blind_work,269,1054,160,0,0,160,0
blind_work,270,1054,215,0,0,215,0
blind_work,273,1054,137,0,0,137,0
blind_work,275,1054,131,0,0,131,0
blind_work,277,1054,305,0,0,305,0
blind_work,278,1054,70,0,0,70,0
blind_work,279,1054,135,0,0,135,0
blind_work,280,1054,130,0,0,130,0
blind_work,283,1054,80,0,0,80,0
blind_work,285,1054,333,0,0,333,0
blind_work,286,1054,166,0,0,166,0
blind_work,290,1054,112,0,0,112,0
blind_work,308,1054,280,0,0,280,0
blind_work,310,1054,327,0,0,327,0
blind_work,312,1054,336,0,0,336,0
blind_work,313,1049,340,0,0,340,0
blind_work,315,1054,216,0,0,216,0
blind_work,316,1044,305,0,0,305,0
blind_work,319,1054,181,0,0,181,0
blind_work,323,1054,190,0,0,190,0
blind_work,324,1054,222,0,0,222,0
blind_work,330,1054,391,0,0,391,0
blind_work,340,1054,131,0,0,131,0
blind_work,343,1054,255,0,0,255,0
blind_work,344,1054,201,0,0,201,0
blind_work,348,1054,164,0,0,164,0
blind_work,350,1054,113,0,0,113,0
blind_work,356,1054,147,0,0,147,0
blind_work,370,1054,127,0,0,127,0
blind_work,375,1044,126,0,0,126,0
blind_work,377,1054,125,0,0,125,0
blind_work,380,1054,148,0,0,148,0
blind_work,391,1054,26,0,0,26,0
always_protect,209,1054,343,1054,343,0,711
always_protect,215,1045,230,1045,230,0,815
always_protect,225,1026,394,1026,394,0,632
always_protect,235,1054,245,1054,245,0,809
always_protect,240,1054,218,1054,218,0,836
always_protect,242,1054,401,1054,401,0,653
always_protect,248,1054,197,1054,197,0,857
always_protect,249,1054,201,1054,201,0,853
always_protect,251,1028,278,1028,278,0,750
always_protect,258,1034,332,1034,332,0,702
always_protect,260,1054,119,1054,119,0,935
always_protect,267,1054,235,1054,235,0,819
always_protect,269,1054,160,1054,160,0,894
always_protect,270,1054,215,1054,215,0,839
always_protect,273,1054,137,1054,137,0,917
always_protect,275,1054,131,1054,131,0,923
always_protect,277,1054,305,1054,305,0,749
always_protect,278,1054,70,1054,70,0,984
always_protect,279,1054,135,1054,135,0,919
always_protect,280,1054,130,1054,130,0,924
always_protect,283,1054,80,1054,80,0,974
always_protect,285,1054,333,1054,333,0,721
always_protect,286,1054,166,1054,166,0,888
always_protect,290,1054,112,1054,112,0,942
always_protect,308,1054,280,1054,280,0,774
always_protect,310,1054,327,1054,327,0,727
always_protect,312,1054,336,1054,336,0,718
always_protect,313,1049,340,1049,340,0,709
always_protect,315,1054,216,1054,216,0,838
always_protect,316,1044,305,1044,305,0,739
always_protect,319,1054,181,1054,181,0,873
always_protect,323,1054,190,1054,190,0,864
always_protect,324,1054,222,1054,222,0,832
always_protect,330,1054,391,1054,391,0,663
always_protect,340,1054,131,1054,131,0,923
always_protect,343,1054,255,1054,255,0,799
always_protect,344,1054,201,1054,201,0,853
always_protect,348,1054,164,1054,164,0,890
always_protect,350,1054,113,1054,113,0,941
always_protect,356,1054,147,1054,147,0,907
always_protect,370,1054,127,1054,127,0,927
always_protect,375,1044,126,1044,126,0,918
always_protect,377,1054,125,1054,125,0,929
always_protect,380,1054,148,1054,148,0,906
always_protect,391,1054,26,1054,26,0,1028
fixed_limit,209,1054,343,235,201,142,34
fixed_limit,215,1045,230,184,136,94,48
fixed_limit,225,1026,394,230,211,183,19
fixed_limit,235,1054,245,272,189,56,83
fixed_limit,240,1054,218,144,105,113,39
fixed_limit,242,1054,401,277,240,161,37
fixed_limit,248,1054,197,223,146,51,77
fixed_limit,249,1054,201,217,130,71,87
fixed_limit,251,1028,278,265,192,86,73
fixed_limit,258,1034,332,202,172,160,30
fixed_limit,260,1054,119,159,72,47,87
fixed_limit,267,1054,235,191,133,102,58
fixed_limit,269,1054,160,185,113,47,72
fixed_limit,270,1054,215,221,136,79,85
fixed_limit,273,1054,137,189,97,40,92
fixed_limit,275,1054,131,146,73,58,73
fixed_limit,277,1054,305,265,191,114,74
fixed_limit,278,1054,70,166,55,15,111
fixed_limit,279,1054,135,184,90,45,94
fixed_limit,280,1054,130,198,94,36,104
fixed_limit,283,1054,80,165,56,24,109
fixed_limit,285,1054,333,251,209,124,42
fixed_limit,286,1054,166,205,115,51,90
fixed_limit,290,1054,112,174,76,36,98
fixed_limit,308,1054,280,237,174,106,63
fixed_limit,310,1054,327,237,202,125,35
fixed_limit,312,1054,336,267,214,122,53
fixed_limit,313,1049,340,263,208,132,55
fixed_limit,315,1054,216,198,131,85,67
fixed_limit,316,1044,305,250,201,104,49
fixed_limit,319,1054,181,168,114,67,54
fixed_limit,323,1054,190,198,118,72,80
fixed_limit,324,1054,222,198,131,91,67
fixed_limit,330,1054,391,248,220,171,28
fixed_limit,340,1054,131,183,96,35,87
fixed_limit,343,1054,255,187,138,117,49
fixed_limit,344,1054,201,156,110,91,46
fixed_limit,348,1054,164,155,89,75,66
fixed_limit,350,1054,113,154,66,47,88
fixed_limit,356,1054,147,154,90,57,64
fixed_limit,370,1054,127,128,68,59,60
fixed_limit,375,1044,126,140,82,44,58
fixed_limit,377,1054,125,156,80,45,76
fixed_limit,380,1054,148,132,86,62,46
fixed_limit,391,1054,26,139,21,5,118
calibrated_r0.05,209,1054,343,667,335,8,332
calibrated_r0.05,215,1045,230,594,226,4,368
calibrated_r0.05,225,1026,394,650,382,12,268
calibrated_r0.05,235,1054,245,690,241,4,449
calibrated_r0.05,240,1054,218,517,206,12,311
calibrated_r0.05,242,1054,401,712,390,11,322
calibrated_r0.05,248,1054,197,629,194,3,435
calibrated_r0.05,249,1054,201,618,196,5,422
calibrated_r0.05,251,1028,278,687,273,5,414
calibrated_r0.05,258,1034,332,606,313,19,293
calibrated_r0.05,260,1054,119,557,115,4,442
calibrated_r0.05,267,1054,235,593,228,7,365
calibrated_r0.05,269,1054,160,622,156,4,466
calibrated_r0.05,270,1054,215,629,210,5,419
calibrated_r0.05,273,1054,137,573,135,2,438
calibrated_r0.05,275,1054,131,562,125,6,437
calibrated_r0.05,277,1054,305,702,298,7,404
calibrated_r0.05,278,1054,70,564,70,0,494
calibrated_r0.05,279,1054,135,591,135,0,456
calibrated_r0.05,280,1054,130,578,128,2,450
calibrated_r0.05,283,1054,80,570,76,4,494
calibrated_r0.05,285,1054,333,674,326,7,348
calibrated_r0.05,286,1054,166,599,163,3,436
calibrated_r0.05,290,1054,112,588,111,1,477
calibrated_r0.05,308,1054,280,648,271,9,377
calibrated_r0.05,310,1054,327,648,316,11,332
calibrated_r0.05,312,1054,336,698,333,3,365
calibrated_r0.05,313,1049,340,681,336,4,345
calibrated_r0.05,315,1054,216,622,211,5,411
calibrated_r0.05,316,1044,305,685,297,8,388
calibrated_r0.05,319,1054,181,589,177,4,412
calibrated_r0.05,323,1054,190,622,187,3,435
calibrated_r0.05,324,1054,222,622,215,7,407
calibrated_r0.05,330,1054,391,677,382,9,295
calibrated_r0.05,340,1054,131,583,129,2,454
calibrated_r0.05,343,1054,255,592,244,11,348
calibrated_r0.05,344,1054,201,513,198,3,315
calibrated_r0.05,348,1054,164,540,158,6,382
calibrated_r0.05,350,1054,113,555,110,3,445
calibrated_r0.05,356,1054,147,557,142,5,415
calibrated_r0.05,370,1054,127,523,122,5,401
calibrated_r0.05,375,1044,126,528,122,4,406
calibrated_r0.05,377,1054,125,561,120,5,441
calibrated_r0.05,380,1054,148,498,146,2,352
calibrated_r0.05,391,1054,26,553,25,1,528
tuned_raw_r0.05,209,1054,343,707,336,7,371
tuned_raw_r0.05,215,1045,230,630,226,4,404
tuned_raw_r0.05,225,1026,394,690,384,10,306
tuned_raw_r0.05,235,1054,245,723,243,2,480
tuned_raw_r0.05,240,1054,218,545,208,10,337
tuned_raw_r0.05,242,1054,401,741,392,9,349
tuned_raw_r0.05,248,1054,197,654,197,0,457
tuned_raw_r0.05,249,1054,201,647,198,3,449
tuned_raw_r0.05,251,1028,278,704,274,4,430
tuned_raw_r0.05,258,1034,332,643,316,16,327
tuned_raw_r0.05,260,1054,119,584,117,2,467
tuned_raw_r0.05,267,1054,235,633,230,5,403
tuned_raw_r0.05,269,1054,160,650,157,3,493
tuned_raw_r0.05,270,1054,215,657,211,4,446
tuned_raw_r0.05,273,1054,137,598,135,2,463
tuned_raw_r0.05,275,1054,131,589,126,5,463
tuned_raw_r0.05,277,1054,305,726,301,4,425
tuned_raw_r0.05,278,1054,70,593,70,0,523
tuned_raw_r0.05,279,1054,135,616,135,0,481
tuned_raw_r0.05,280,1054,130,608,128,2,480
tuned_raw_r0.05,283,1054,80,603,76,4,527
tuned_raw_r0.05,285,1054,333,700,326,7,374
tuned_raw_r0.05,286,1054,166,622,164,2,458
tuned_raw_r0.05,290,1054,112,619,111,1,508
tuned_raw_r0.05,308,1054,280,675,273,7,402
tuned_raw_r0.05,310,1054,327,675,318,9,357
tuned_raw_r0.05,312,1054,336,720,333,3,387
tuned_raw_r0.05,313,1049,340,704,336,4,368
tuned_raw_r0.05,315,1054,216,642,212,4,430
tuned_raw_r0.05,316,1044,305,704,298,7,406
