policy,station_id,n_test,n_positive,n_protected,n_protected_positive,n_unprotected_positive,n_protected_negative
tuned_raw_r0.05,319,1054,181,625,177,4,448
tuned_raw_r0.05,323,1054,190,642,187,3,455
tuned_raw_r0.05,324,1054,222,642,216,6,426
tuned_raw_r0.05,330,1054,391,705,382,9,323
tuned_raw_r0.05,340,1054,131,608,129,2,479
tuned_raw_r0.05,343,1054,255,630,246,9,384
tuned_raw_r0.05,344,1054,201,546,199,2,347
tuned_raw_r0.05,348,1054,164,573,160,4,413
tuned_raw_r0.05,350,1054,113,587,111,2,476
tuned_raw_r0.05,356,1054,147,587,145,2,442
tuned_raw_r0.05,370,1054,127,552,123,4,429
tuned_raw_r0.05,375,1044,126,565,124,2,441
tuned_raw_r0.05,377,1054,125,574,121,4,453
tuned_raw_r0.05,380,1054,148,525,147,1,378
tuned_raw_r0.05,391,1054,26,586,25,1,561
calibrated_r0.1,209,1054,343,519,312,31,207
calibrated_r0.1,215,1045,230,439,215,15,224
calibrated_r0.1,225,1026,394,508,346,48,162
calibrated_r0.1,235,1054,245,563,238,7,325
calibrated_r0.1,240,1054,218,402,191,27,211
calibrated_r0.1,242,1054,401,579,365,36,214
calibrated_r0.1,248,1054,197,497,188,9,309
calibrated_r0.1,249,1054,201,473,189,12,284
calibrated_r0.1,251,1028,278,569,261,17,308
calibrated_r0.1,258,1034,332,475,287,45,188
calibrated_r0.1,260,1054,119,415,107,12,308
calibrated_r0.1,267,1054,235,432,212,23,220
calibrated_r0.1,269,1054,160,472,150,10,322
calibrated_r0.1,270,1054,215,471,199,16,272
calibrated_r0.1,273,1054,137,446,130,7,316
calibrated_r0.1,275,1054,131,419,114,17,305
calibrated_r0.1,277,1054,305,547,283,22,264
calibrated_r0.1,278,1054,70,437,68,2,369
calibrated_r0.1,279,1054,135,448,127,8,321
calibrated_r0.1,280,1054,130,448,124,6,324
calibrated_r0.1,283,1054,80,452,73,7,379
calibrated_r0.1,285,1054,333,532,303,30,229
calibrated_r0.1,286,1054,166,451,157,9,294
calibrated_r0.1,290,1054,112,437,110,2,327
calibrated_r0.1,308,1054,280,523,265,15,258
calibrated_r0.1,310,1054,327,523,306,21,217
calibrated_r0.1,312,1054,336,566,321,15,245
calibrated_r0.1,313,1049,340,565,330,10,235
calibrated_r0.1,315,1054,216,486,202,14,284
calibrated_r0.1,316,1044,305,551,291,14,260
calibrated_r0.1,319,1054,181,459,173,8,286
calibrated_r0.1,323,1054,190,486,183,7,303
calibrated_r0.1,324,1054,222,486,206,16,280
calibrated_r0.1,330,1054,391,538,363,28,175
calibrated_r0.1,340,1054,131,444,123,8,321
calibrated_r0.1,343,1054,255,440,230,25,210
calibrated_r0.1,344,1054,201,400,192,9,208
calibrated_r0.1,348,1054,164,418,152,12,266
calibrated_r0.1,350,1054,113,410,103,10,307
calibrated_r0.1,356,1054,147,425,130,17,295
calibrated_r0.1,370,1054,127,398,118,9,280
calibrated_r0.1,375,1044,126,405,118,8,287
calibrated_r0.1,377,1054,125,428,115,10,313
calibrated_r0.1,380,1054,148,372,144,4,228
calibrated_r0.1,391,1054,26,419,24,2,395
tuned_raw_r0.1,209,1054,343,518,311,32,207
tuned_raw_r0.1,215,1045,230,437,215,15,222
tuned_raw_r0.1,225,1026,394,507,345,49,162
tuned_raw_r0.1,235,1054,245,563,238,7,325
tuned_raw_r0.1,240,1054,218,398,190,28,208
tuned_raw_r0.1,242,1054,401,574,362,39,212
tuned_raw_r0.1,248,1054,197,496,188,9,308
tuned_raw_r0.1,249,1054,201,468,189,12,279
tuned_raw_r0.1,251,1028,278,565,260,18,305
tuned_raw_r0.1,258,1034,332,475,287,45,188
tuned_raw_r0.1,260,1054,119,413,106,13,307
tuned_raw_r0.1,267,1054,235,430,212,23,218
tuned_raw_r0.1,269,1054,160,469,150,10,319
tuned_raw_r0.1,270,1054,215,471,199,16,272
tuned_raw_r0.1,273,1054,137,444,130,7,314
tuned_raw_r0.1,275,1054,131,418,114,17,304
tuned_raw_r0.1,277,1054,305,546,283,22,263
tuned_raw_r0.1,278,1054,70,434,68,2,366
tuned_raw_r0.1,279,1054,135,444,127,8,317
tuned_raw_r0.1,280,1054,130,448,124,6,324
tuned_raw_r0.1,283,1054,80,448,73,7,375
tuned_raw_r0.1,285,1054,333,531,302,31,229
tuned_raw_r0.1,286,1054,166,449,156,10,293
tuned_raw_r0.1,290,1054,112,435,110,2,325
tuned_raw_r0.1,308,1054,280,521,265,15,256
tuned_raw_r0.1,310,1054,327,521,306,21,215
tuned_raw_r0.1,312,1054,336,563,321,15,242
tuned_raw_r0.1,313,1049,340,563,330,10,233
tuned_raw_r0.1,315,1054,216,483,202,14,281
tuned_raw_r0.1,316,1044,305,550,291,14,259
tuned_raw_r0.1,319,1054,181,458,172,9,286
tuned_raw_r0.1,323,1054,190,483,182,8,301
tuned_raw_r0.1,324,1054,222,483,206,16,277
tuned_raw_r0.1,330,1054,391,534,361,30,173
tuned_raw_r0.1,340,1054,131,444,123,8,321
tuned_raw_r0.1,343,1054,255,439,229,26,210
tuned_raw_r0.1,344,1054,201,399,191,10,208
tuned_raw_r0.1,348,1054,164,416,152,12,264
tuned_raw_r0.1,350,1054,113,407,103,10,304
tuned_raw_r0.1,356,1054,147,425,130,17,295
tuned_raw_r0.1,370,1054,127,396,118,9,278
tuned_raw_r0.1,375,1044,126,400,118,8,282
tuned_raw_r0.1,377,1054,125,427,115,10,312
tuned_raw_r0.1,380,1054,148,370,144,4,226
tuned_raw_r0.1,391,1054,26,415,24,2,391
calibrated_r0.2,209,1054,343,385,264,79,121
calibrated_r0.2,215,1045,230,319,188,42,131
calibrated_r0.2,225,1026,394,377,289,105,88
calibrated_r0.2,235,1054,245,427,226,19,201
calibrated_r0.2,240,1054,218,282,165,53,117
calibrated_r0.2,242,1054,401,439,327,74,112
calibrated_r0.2,248,1054,197,361,177,20,184
calibrated_r0.2,249,1054,201,351,168,33,183
calibrated_r0.2,251,1028,278,427,240,38,187
calibrated_r0.2,258,1034,332,348,246,86,102
calibrated_r0.2,260,1054,119,302,95,24,207
calibrated_r0.2,267,1054,235,324,184,51,140
calibrated_r0.2,269,1054,160,335,141,19,194
calibrated_r0.2,270,1054,215,348,182,33,166
calibrated_r0.2,273,1054,137,323,119,18,204
calibrated_r0.2,275,1054,131,300,105,26,195
calibrated_r0.2,277,1054,305,413,251,54,162
calibrated_r0.2,278,1054,70,315,66,4,249
calibrated_r0.2,279,1054,135,327,119,16,208
calibrated_r0.2,280,1054,130,326,119,11,207
calibrated_r0.2,283,1054,80,315,70,10,245
calibrated_r0.2,285,1054,333,400,278,55,122
calibrated_r0.2,286,1054,166,341,145,21,196
calibrated_r0.2,290,1054,112,313,100,12,213
calibrated_r0.2,308,1054,280,387,230,50,157
calibrated_r0.2,310,1054,327,387,259,68,128
calibrated_r0.2,312,1054,336,445,285,51,160
calibrated_r0.2,313,1049,340,441,293,47,148
calibrated_r0.2,315,1054,216,356,179,37,177
calibrated_r0.2,316,1044,305,418,260,45,158
calibrated_r0.2,319,1054,181,336,155,26,181
calibrated_r0.2,323,1054,190,356,162,28,194
calibrated_r0.2,324,1054,222,356,187,35,169
calibrated_r0.2,330,1054,391,409,314,77,95
calibrated_r0.2,340,1054,131,333,117,14,216
calibrated_r0.2,343,1054,255,329,201,54,128
calibrated_r0.2,344,1054,201,290,173,28,117
calibrated_r0.2,348,1054,164,293,134,30,159
calibrated_r0.2,350,1054,113,296,97,16,199
calibrated_r0.2,356,1054,147,319,120,27,199
calibrated_r0.2,370,1054,127,282,109,18,173
calibrated_r0.2,375,1044,126,280,109,17,171
calibrated_r0.2,377,1054,125,312,108,17,204
calibrated_r0.2,380,1054,148,265,131,17,134
calibrated_r0.2,391,1054,26,288,24,2,264
tuned_raw_r0.2,209,1054,343,360,257,86,103
tuned_raw_r0.2,215,1045,230,297,180,50,117
tuned_raw_r0.2,225,1026,394,352,279,115,73
tuned_raw_r0.2,235,1054,245,404,225,20,179
tuned_raw_r0.2,240,1054,218,264,160,58,104
tuned_raw_r0.2,242,1054,401,410,316,85,94
tuned_raw_r0.2,248,1054,197,341,175,22,166
tuned_raw_r0.2,249,1054,201,336,165,36,171
tuned_raw_r0.2,251,1028,278,399,235,43,164
tuned_raw_r0.2,258,1034,332,327,234,98,93
tuned_raw_r0.2,260,1054,119,277,93,26,184
tuned_raw_r0.2,267,1054,235,306,178,57,128
tuned_raw_r0.2,269,1054,160,307,138,22,169
tuned_raw_r0.2,270,1054,215,328,178,37,150
tuned_raw_r0.2,273,1054,137,293,115,22,178
tuned_raw_r0.2,275,1054,131,265,99,32,166
tuned_raw_r0.2,277,1054,305,379,240,65,139
tuned_raw_r0.2,278,1054,70,291,66,4,225
tuned_raw_r0.2,279,1054,135,301,117,18,184
tuned_raw_r0.2,280,1054,130,300,116,14,184
tuned_raw_r0.2,283,1054,80,288,68,12,220
tuned_raw_r0.2,285,1054,333,370,264,69,106
tuned_raw_r0.2,286,1054,166,323,144,22,179
tuned_raw_r0.2,290,1054,112,291,97,15,194
tuned_raw_r0.2,308,1054,280,360,224,56,136
tuned_raw_r0.2,310,1054,327,360,252,75,108
tuned_raw_r0.2,312,1054,336,417,277,59,140
tuned_raw_r0.2,313,1049,340,392,270,70,122
tuned_raw_r0.2,315,1054,216,323,173,43,150
tuned_raw_r0.2,316,1044,305,398,252,53,146
tuned_raw_r0.2,319,1054,181,309,152,29,157
tuned_raw_r0.2,323,1054,190,323,156,34,167
tuned_raw_r0.2,324,1054,222,323,181,41,142
tuned_raw_r0.2,330,1054,391,387,305,86,82
tuned_raw_r0.2,340,1054,131,299,117,14,182
tuned_raw_r0.2,343,1054,255,302,192,63,110
tuned_raw_r0.2,344,1054,201,267,167,34,100
tuned_raw_r0.2,348,1054,164,276,131,33,145
tuned_raw_r0.2,350,1054,113,276,92,21,184
tuned_raw_r0.2,356,1054,147,287,118,29,169
tuned_raw_r0.2,370,1054,127,260,102,25,158
tuned_raw_r0.2,375,1044,126,257,106,20,151
tuned_raw_r0.2,377,1054,125,294,106,19,188
tuned_raw_r0.2,380,1054,148,246,126,22,120
tuned_raw_r0.2,391,1054,26,261,24,2,237
calibrated_r0.4,209,1054,343,235,201,142,34
calibrated_r0.4,215,1045,230,181,134,96,47
calibrated_r0.4,225,1026,394,230,211,183,19
calibrated_r0.4,235,1054,245,271,188,57,83
calibrated_r0.4,240,1054,218,140,105,113,35
calibrated_r0.4,242,1054,401,274,237,164,37
calibrated_r0.4,248,1054,197,221,146,51,75
calibrated_r0.4,249,1054,201,216,129,72,87
calibrated_r0.4,251,1028,278,263,191,87,72
calibrated_r0.4,258,1034,332,201,171,161,30
calibrated_r0.4,260,1054,119,158,72,47,86
calibrated_r0.4,267,1054,235,188,133,102,55
calibrated_r0.4,269,1054,160,183,113,47,70
calibrated_r0.4,270,1054,215,215,135,80,80
calibrated_r0.4,273,1054,137,189,97,40,92
calibrated_r0.4,275,1054,131,141,72,59,69
calibrated_r0.4,277,1054,305,264,191,114,73
calibrated_r0.4,278,1054,70,165,55,15,110
calibrated_r0.4,279,1054,135,183,89,46,94
calibrated_r0.4,280,1054,130,194,92,38,102
calibrated_r0.4,283,1054,80,160,55,25,105
calibrated_r0.4,285,1054,333,250,209,124,41
calibrated_r0.4,286,1054,166,203,113,53,90
calibrated_r0.4,290,1054,112,174,76,36,98
calibrated_r0.4,308,1054,280,232,170,110,62
calibrated_r0.4,310,1054,327,232,198,129,34
calibrated_r0.4,312,1054,336,267,214,122,53
calibrated_r0.4,313,1049,340,261,208,132,53
calibrated_r0.4,315,1054,216,197,131,85,66
calibrated_r0.4,316,1044,305,247,200,105,47
calibrated_r0.4,319,1054,181,165,113,68,52
calibrated_r0.4,323,1054,190,197,118,72,79
calibrated_r0.4,324,1054,222,197,131,91,66
calibrated_r0.4,330,1054,391,246,219,172,27
calibrated_r0.4,340,1054,131,182,95,36,87
calibrated_r0.4,343,1054,255,183,136,119,47
calibrated_r0.4,344,1054,201,153,110,91,43
calibrated_r0.4,348,1054,164,154,89,75,65
calibrated_r0.4,350,1054,113,151,65,48,86
calibrated_r0.4,356,1054,147,153,89,58,64
calibrated_r0.4,370,1054,127,128,68,59,60
calibrated_r0.4,375,1044,126,139,81,45,58
calibrated_r0.4,377,1054,125,155,80,45,75
calibrated_r0.4,380,1054,148,132,86,62,46
calibrated_r0.4,391,1054,26,138,21,5,117
tuned_raw_r0.4,209,1054,343,229,197,146,32
tuned_raw_r0.4,215,1045,230,165,124,106,41
tuned_raw_r0.4,225,1026,394,224,206,188,18
tuned_raw_r0.4,235,1054,245,254,185,60,69
tuned_raw_r0.4,240,1054,218,124,94,124,30
tuned_raw_r0.4,242,1054,401,261,227,174,34
tuned_raw_r0.4,248,1054,197,201,138,59,63
tuned_raw_r0.4,249,1054,201,197,123,78,74
tuned_raw_r0.4,251,1028,278,248,184,94,64
tuned_raw_r0.4,258,1034,332,188,163,169,25
tuned_raw_r0.4,260,1054,119,143,67,52,76
tuned_raw_r0.4,267,1054,235,178,129,106,49
tuned_raw_r0.4,269,1054,160,164,108,52,56
tuned_raw_r0.4,270,1054,215,201,131,84,70
tuned_raw_r0.4,273,1054,137,173,93,44,80
tuned_raw_r0.4,275,1054,131,117,68,63,49
tuned_raw_r0.4,277,1054,305,247,180,125,67
tuned_raw_r0.4,278,1054,70,155,55,15,100
tuned_raw_r0.4,279,1054,135,168,84,51,84
tuned_raw_r0.4,280,1054,130,180,86,44,94
tuned_raw_r0.4,283,1054,80,146,55,25,91
tuned_raw_r0.4,285,1054,333,223,190,143,33
tuned_raw_r0.4,286,1054,166,184,103,63,81
tuned_raw_r0.4,290,1054,112,154,72,40,82
tuned_raw_r0.4,308,1054,280,210,159,121,51
tuned_raw_r0.4,310,1054,327,210,186,141,24
tuned_raw_r0.4,312,1054,336,255,207,129,48
tuned_raw_r0.4,313,1049,340,244,199,141,45
tuned_raw_r0.4,315,1054,216,177,125,91,52
tuned_raw_r0.4,316,1044,305,228,190,115,38
tuned_raw_r0.4,319,1054,181,156,107,74,49
tuned_raw_r0.4,323,1054,190,177,111,79,66
tuned_raw_r0.4,324,1054,222,177,123,99,54
tuned_raw_r0.4,330,1054,391,230,210,181,20
tuned_raw_r0.4,340,1054,131,168,86,45,82
tuned_raw_r0.4,343,1054,255,173,130,125,43
tuned_raw_r0.4,344,1054,201,143,105,96,38
tuned_raw_r0.4,348,1054,164,135,80,84,55
tuned_raw_r0.4,350,1054,113,130,58,55,72
tuned_raw_r0.4,356,1054,147,143,86,61,57
tuned_raw_r0.4,370,1054,127,111,59,68,52
tuned_raw_r0.4,375,1044,126,123,74,52,49
tuned_raw_r0.4,377,1054,125,140,75,50,65
tuned_raw_r0.4,380,1054,148,117,80,68,37
tuned_raw_r0.4,391,1054,26,129,20,6,109
calibrated_r0.6,209,1054,343,144,132,211,12
calibrated_r0.6,215,1045,230,85,76,154,9
calibrated_r0.6,225,1026,394,140,132,262,8
calibrated_r0.6,235,1054,245,152,128,117,24
calibrated_r0.6,240,1054,218,62,50,168,12
calibrated_r0.6,242,1054,401,170,158,243,12
calibrated_r0.6,248,1054,197,101,87,110,14
calibrated_r0.6,249,1054,201,106,84,117,22
calibrated_r0.6,251,1028,278,164,129,149,35
calibrated_r0.6,258,1034,332,102,99,233,3
calibrated_r0.6,260,1054,119,63,43,76,20
calibrated_r0.6,267,1054,235,93,78,157,15
calibrated_r0.6,269,1054,160,87,68,92,19
calibrated_r0.6,270,1054,215,117,84,131,33
calibrated_r0.6,273,1054,137,87,62,75,25
calibrated_r0.6,275,1054,131,58,42,89,16
calibrated_r0.6,277,1054,305,155,124,181,31
calibrated_r0.6,278,1054,70,74,32,38,42
calibrated_r0.6,279,1054,135,81,56,79,25
calibrated_r0.6,280,1054,130,101,58,72,43
calibrated_r0.6,283,1054,80,68,35,45,33
calibrated_r0.6,285,1054,333,143,129,204,14
calibrated_r0.6,286,1054,166,108,75,91,33
calibrated_r0.6,290,1054,112,75,46,66,29
calibrated_r0.6,308,1054,280,130,105,175,25
calibrated_r0.6,310,1054,327,130,121,206,9
calibrated_r0.6,312,1054,336,161,139,197,22
calibrated_r0.6,313,1049,340,158,140,200,18
calibrated_r0.6,315,1054,216,98,88,128,10
calibrated_r0.6,316,1044,305,145,131,174,14
calibrated_r0.6,319,1054,181,78,65,116,13
calibrated_r0.6,323,1054,190,98,79,111,19
calibrated_r0.6,324,1054,222,98,82,140,16
calibrated_r0.6,330,1054,391,149,145,246,4
calibrated_r0.6,340,1054,131,87,58,73,29
calibrated_r0.6,343,1054,255,83,72,183,11
calibrated_r0.6,344,1054,201,61,56,145,5
calibrated_r0.6,348,1054,164,59,46,118,13
calibrated_r0.6,350,1054,113,58,38,75,20
calibrated_r0.6,356,1054,147,64,47,100,17
calibrated_r0.6,370,1054,127,48,34,93,14
calibrated_r0.6,375,1044,126,50,40,86,10
calibrated_r0.6,377,1054,125,64,48,77,16
calibrated_r0.6,380,1054,148,55,49,99,6
calibrated_r0.6,391,1054,26,64,11,15,53
tuned_raw_r0.6,209,1054,343,138,129,214,9
tuned_raw_r0.6,215,1045,230,83,75,155,8
tuned_raw_r0.6,225,1026,394,134,127,267,7
tuned_raw_r0.6,235,1054,245,149,126,119,23
tuned_raw_r0.6,240,1054,218,57,46,172,11
tuned_raw_r0.6,242,1054,401,165,154,247,11
tuned_raw_r0.6,248,1054,197,98,85,112,13
tuned_raw_r0.6,249,1054,201,103,81,120,22
tuned_raw_r0.6,251,1028,278,162,128,150,34
tuned_raw_r0.6,258,1034,332,96,93,239,3
tuned_raw_r0.6,260,1054,119,60,40,79,20
tuned_raw_r0.6,267,1054,235,91,78,157,13
tuned_raw_r0.6,269,1054,160,84,68,92,16
tuned_raw_r0.6,270,1054,215,110,81,134,29
tuned_raw_r0.6,273,1054,137,80,57,80,23
tuned_raw_r0.6,275,1054,131,52,38,93,14
tuned_raw_r0.6,277,1054,305,152,122,183,30
tuned_raw_r0.6,278,1054,70,72,32,38,40
tuned_raw_r0.6,279,1054,135,79,56,79,23
tuned_raw_r0.6,280,1054,130,95,55,75,40
tuned_raw_r0.6,283,1054,80,67,35,45,32
