issue_date,issue_cycle,issue_time,valid_time,lead_hours,station_id,latitude,longitude,grid_longitude,grid_latitude,GUST_ms,KNMI_FX_ms,gfs_file,pairing_rule,observation_available
2025-01-01,00,2025-01-01T00:00:00+00:00,2025-01-01T06:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,21.10696029663086,17.0,gfs_20250101_00_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-01,06,2025-01-01T06:00:00+00:00,2025-01-01T12:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,24.801746368408203,19.0,gfs_20250101_06_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-01,12,2025-01-01T12:00:00+00:00,2025-01-01T18:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,10.604681968688965,9.0,gfs_20250101_12_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-01,18,2025-01-01T18:00:00+00:00,2025-01-02T00:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,8.81168270111084,8.0,gfs_20250101_18_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-02,00,2025-01-02T00:00:00+00:00,2025-01-02T06:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,2.602344512939453,2.0,gfs_20250102_00_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-02,06,2025-01-02T06:00:00+00:00,2025-01-02T12:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,6.306265830993652,5.0,gfs_20250102_06_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-02,12,2025-01-02T12:00:00+00:00,2025-01-02T18:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,6.900000095367432,3.0,gfs_20250102_12_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-02,18,2025-01-02T18:00:00+00:00,2025-01-03T00:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,7.104844093322754,4.0,gfs_20250102_18_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-03,00,2025-01-03T00:00:00+00:00,2025-01-03T06:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,13.100171089172363,8.0,gfs_20250103_00_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
2025-01-03,06,2025-01-03T06:00:00+00:00,2025-01-03T12:00:00+00:00,6.0,260,52.1,5.18,5.25,52.0,12.600762367248535,10.0,gfs_20250103_06_f006_gust.grib2,GFS valid_time == KNMI interval_end,True
