gfs_file,issue_time,valid_time,last_modified_utc,archive_lag_hours,valid_minus_archive_hours,interpretation
gfs_20250101_00_f006_gust.grib2,2025-01-01T00:00:00+00:00,2025-01-01T06:00:00+00:00,2025-01-01T03:36:01+00:00,3.600277777777778,2.399722222222222,archive object timestamp proxy; not operational publication evidence
gfs_20250111_00_f006_gust.grib2,2025-01-11T00:00:00+00:00,2025-01-11T06:00:00+00:00,2025-01-11T03:37:45+00:00,3.629166666666667,2.370833333333333,archive object timestamp proxy; not operational publication evidence
gfs_20250111_06_f006_gust.grib2,2025-01-11T06:00:00+00:00,2025-01-11T12:00:00+00:00,2025-01-11T09:35:43+00:00,3.5952777777777776,2.4047222222222224,archive object timestamp proxy; not operational publication evidence
gfs_20250111_12_f006_gust.grib2,2025-01-11T12:00:00+00:00,2025-01-11T18:00:00+00:00,2025-01-11T15:36:59+00:00,3.616388888888889,2.383611111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250111_18_f006_gust.grib2,2025-01-11T18:00:00+00:00,2025-01-12T00:00:00+00:00,2025-01-11T21:38:46+00:00,3.6461111111111113,2.3538888888888887,archive object timestamp proxy; not operational publication evidence
gfs_20250112_00_f006_gust.grib2,2025-01-12T00:00:00+00:00,2025-01-12T06:00:00+00:00,2025-01-12T03:38:10+00:00,3.636111111111111,2.363888888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250112_06_f006_gust.grib2,2025-01-12T06:00:00+00:00,2025-01-12T12:00:00+00:00,2025-01-12T09:35:54+00:00,3.598333333333333,2.401666666666667,archive object timestamp proxy; not operational publication evidence
gfs_20250112_12_f006_gust.grib2,2025-01-12T12:00:00+00:00,2025-01-12T18:00:00+00:00,2025-01-12T15:36:21+00:00,3.6058333333333334,2.3941666666666666,archive object timestamp proxy; not operational publication evidence
gfs_20250112_18_f006_gust.grib2,2025-01-12T18:00:00+00:00,2025-01-13T00:00:00+00:00,2025-01-12T21:38:41+00:00,3.644722222222222,2.355277777777778,archive object timestamp proxy; not operational publication evidence
gfs_20250113_00_f006_gust.grib2,2025-01-13T00:00:00+00:00,2025-01-13T06:00:00+00:00,2025-01-13T03:38:04+00:00,3.6344444444444446,2.3655555555555554,archive object timestamp proxy; not operational publication evidence
gfs_20250113_06_f006_gust.grib2,2025-01-13T06:00:00+00:00,2025-01-13T12:00:00+00:00,2025-01-13T09:36:16+00:00,3.6044444444444443,2.3955555555555557,archive object timestamp proxy; not operational publication evidence
gfs_20250113_12_f006_gust.grib2,2025-01-13T12:00:00+00:00,2025-01-13T18:00:00+00:00,2025-01-13T15:36:06+00:00,3.6016666666666666,2.3983333333333334,archive object timestamp proxy; not operational publication evidence
gfs_20250113_18_f006_gust.grib2,2025-01-13T18:00:00+00:00,2025-01-14T00:00:00+00:00,2025-01-13T21:39:12+00:00,3.6533333333333333,2.3466666666666667,archive object timestamp proxy; not operational publication evidence
gfs_20250114_00_f006_gust.grib2,2025-01-14T00:00:00+00:00,2025-01-14T06:00:00+00:00,2025-01-14T03:38:38+00:00,3.6438888888888887,2.3561111111111113,archive object timestamp proxy; not operational publication evidence
gfs_20250114_06_f006_gust.grib2,2025-01-14T06:00:00+00:00,2025-01-14T12:00:00+00:00,2025-01-14T09:35:09+00:00,3.5858333333333334,2.4141666666666666,archive object timestamp proxy; not operational publication evidence
gfs_20250114_12_f006_gust.grib2,2025-01-14T12:00:00+00:00,2025-01-14T18:00:00+00:00,2025-01-14T15:34:45+00:00,3.5791666666666666,2.4208333333333334,archive object timestamp proxy; not operational publication evidence
gfs_20250114_18_f006_gust.grib2,2025-01-14T18:00:00+00:00,2025-01-15T00:00:00+00:00,2025-01-14T21:36:30+00:00,3.6083333333333334,2.3916666666666666,archive object timestamp proxy; not operational publication evidence
gfs_20250115_00_f006_gust.grib2,2025-01-15T00:00:00+00:00,2025-01-15T06:00:00+00:00,2025-01-15T03:38:14+00:00,3.6372222222222224,2.3627777777777776,archive object timestamp proxy; not operational publication evidence
gfs_20250115_06_f006_gust.grib2,2025-01-15T06:00:00+00:00,2025-01-15T12:00:00+00:00,2025-01-15T09:36:00+00:00,3.6,2.4,archive object timestamp proxy; not operational publication evidence
gfs_20250115_12_f006_gust.grib2,2025-01-15T12:00:00+00:00,2025-01-15T18:00:00+00:00,2025-01-15T15:36:04+00:00,3.601111111111111,2.398888888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250115_18_f006_gust.grib2,2025-01-15T18:00:00+00:00,2025-01-16T00:00:00+00:00,2025-01-15T21:39:08+00:00,3.652222222222222,2.347777777777778,archive object timestamp proxy; not operational publication evidence
gfs_20250116_00_f006_gust.grib2,2025-01-16T00:00:00+00:00,2025-01-16T06:00:00+00:00,2025-01-16T03:37:57+00:00,3.6325,2.3675,archive object timestamp proxy; not operational publication evidence
gfs_20250116_06_f006_gust.grib2,2025-01-16T06:00:00+00:00,2025-01-16T12:00:00+00:00,2025-01-16T09:35:30+00:00,3.591666666666667,2.408333333333333,archive object timestamp proxy; not operational publication evidence
gfs_20250116_12_f006_gust.grib2,2025-01-16T12:00:00+00:00,2025-01-16T18:00:00+00:00,2025-01-16T15:36:28+00:00,3.6077777777777778,2.3922222222222222,archive object timestamp proxy; not operational publication evidence
gfs_20250116_18_f006_gust.grib2,2025-01-16T18:00:00+00:00,2025-01-17T00:00:00+00:00,2025-01-16T21:37:41+00:00,3.6280555555555556,2.3719444444444444,archive object timestamp proxy; not operational publication evidence
gfs_20250117_00_f006_gust.grib2,2025-01-17T00:00:00+00:00,2025-01-17T06:00:00+00:00,2025-01-17T03:38:18+00:00,3.638333333333333,2.361666666666667,archive object timestamp proxy; not operational publication evidence
gfs_20250117_06_f006_gust.grib2,2025-01-17T06:00:00+00:00,2025-01-17T12:00:00+00:00,2025-01-17T09:36:17+00:00,3.604722222222222,2.395277777777778,archive object timestamp proxy; not operational publication evidence
gfs_20250117_12_f006_gust.grib2,2025-01-17T12:00:00+00:00,2025-01-17T18:00:00+00:00,2025-01-17T15:36:09+00:00,3.6025,2.3975,archive object timestamp proxy; not operational publication evidence
gfs_20250117_18_f006_gust.grib2,2025-01-17T18:00:00+00:00,2025-01-18T00:00:00+00:00,2025-01-17T21:38:41+00:00,3.644722222222222,2.355277777777778,archive object timestamp proxy; not operational publication evidence
gfs_20250118_00_f006_gust.grib2,2025-01-18T00:00:00+00:00,2025-01-18T06:00:00+00:00,2025-01-18T03:38:21+00:00,3.6391666666666667,2.3608333333333333,archive object timestamp proxy; not operational publication evidence
gfs_20250118_06_f006_gust.grib2,2025-01-18T06:00:00+00:00,2025-01-18T12:00:00+00:00,2025-01-18T09:36:32+00:00,3.608888888888889,2.391111111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250118_12_f006_gust.grib2,2025-01-18T12:00:00+00:00,2025-01-18T18:00:00+00:00,2025-01-18T15:36:13+00:00,3.6036111111111113,2.3963888888888887,archive object timestamp proxy; not operational publication evidence
gfs_20250118_18_f006_gust.grib2,2025-01-18T18:00:00+00:00,2025-01-19T00:00:00+00:00,2025-01-18T21:38:38+00:00,3.6438888888888887,2.3561111111111113,archive object timestamp proxy; not operational publication evidence
gfs_20250119_00_f006_gust.grib2,2025-01-19T00:00:00+00:00,2025-01-19T06:00:00+00:00,2025-01-19T03:38:53+00:00,3.6480555555555556,2.3519444444444444,archive object timestamp proxy; not operational publication evidence
gfs_20250119_06_f006_gust.grib2,2025-01-19T06:00:00+00:00,2025-01-19T12:00:00+00:00,2025-01-19T09:35:23+00:00,3.589722222222222,2.410277777777778,archive object timestamp proxy; not operational publication evidence
gfs_20250119_12_f006_gust.grib2,2025-01-19T12:00:00+00:00,2025-01-19T18:00:00+00:00,2025-01-19T15:35:55+00:00,3.598611111111111,2.401388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250119_18_f006_gust.grib2,2025-01-19T18:00:00+00:00,2025-01-20T00:00:00+00:00,2025-01-19T21:38:58+00:00,3.6494444444444443,2.3505555555555557,archive object timestamp proxy; not operational publication evidence
gfs_20250120_00_f006_gust.grib2,2025-01-20T00:00:00+00:00,2025-01-20T06:00:00+00:00,2025-01-20T03:38:41+00:00,3.644722222222222,2.355277777777778,archive object timestamp proxy; not operational publication evidence
gfs_20250120_06_f006_gust.grib2,2025-01-20T06:00:00+00:00,2025-01-20T12:00:00+00:00,2025-01-20T09:36:20+00:00,3.6055555555555556,2.3944444444444444,archive object timestamp proxy; not operational publication evidence
gfs_20250120_12_f006_gust.grib2,2025-01-20T12:00:00+00:00,2025-01-20T18:00:00+00:00,2025-01-20T15:35:55+00:00,3.598611111111111,2.401388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250120_18_f006_gust.grib2,2025-01-20T18:00:00+00:00,2025-01-21T00:00:00+00:00,2025-01-20T21:39:06+00:00,3.651666666666667,2.348333333333333,archive object timestamp proxy; not operational publication evidence
gfs_20250121_00_f006_gust.grib2,2025-01-21T00:00:00+00:00,2025-01-21T06:00:00+00:00,2025-01-21T03:38:20+00:00,3.638888888888889,2.361111111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250121_06_f006_gust.grib2,2025-01-21T06:00:00+00:00,2025-01-21T12:00:00+00:00,2025-01-21T09:36:28+00:00,3.6077777777777778,2.3922222222222222,archive object timestamp proxy; not operational publication evidence
gfs_20250121_12_f006_gust.grib2,2025-01-21T12:00:00+00:00,2025-01-21T18:00:00+00:00,2025-01-21T15:36:37+00:00,3.6102777777777777,2.3897222222222223,archive object timestamp proxy; not operational publication evidence
gfs_20250121_18_f006_gust.grib2,2025-01-21T18:00:00+00:00,2025-01-22T00:00:00+00:00,2025-01-21T21:38:36+00:00,3.6433333333333335,2.3566666666666665,archive object timestamp proxy; not operational publication evidence
gfs_20250122_00_f006_gust.grib2,2025-01-22T00:00:00+00:00,2025-01-22T06:00:00+00:00,2025-01-22T03:38:14+00:00,3.6372222222222224,2.3627777777777776,archive object timestamp proxy; not operational publication evidence
gfs_20250122_06_f006_gust.grib2,2025-01-22T06:00:00+00:00,2025-01-22T12:00:00+00:00,2025-01-22T09:36:18+00:00,3.605,2.395,archive object timestamp proxy; not operational publication evidence
gfs_20250122_12_f006_gust.grib2,2025-01-22T12:00:00+00:00,2025-01-22T18:00:00+00:00,2025-01-22T15:36:55+00:00,3.6152777777777776,2.3847222222222224,archive object timestamp proxy; not operational publication evidence
gfs_20250122_18_f006_gust.grib2,2025-01-22T18:00:00+00:00,2025-01-23T00:00:00+00:00,2025-01-22T21:38:54+00:00,3.6483333333333334,2.3516666666666666,archive object timestamp proxy; not operational publication evidence
gfs_20250123_00_f006_gust.grib2,2025-01-23T00:00:00+00:00,2025-01-23T06:00:00+00:00,2025-01-23T03:37:54+00:00,3.631666666666667,2.368333333333333,archive object timestamp proxy; not operational publication evidence
gfs_20250123_06_f006_gust.grib2,2025-01-23T06:00:00+00:00,2025-01-23T12:00:00+00:00,2025-01-23T09:36:05+00:00,3.6013888888888888,2.3986111111111112,archive object timestamp proxy; not operational publication evidence
gfs_20250123_12_f006_gust.grib2,2025-01-23T12:00:00+00:00,2025-01-23T18:00:00+00:00,2025-01-23T15:34:29+00:00,3.5747222222222224,2.4252777777777776,archive object timestamp proxy; not operational publication evidence
gfs_20250123_18_f006_gust.grib2,2025-01-23T18:00:00+00:00,2025-01-24T00:00:00+00:00,2025-01-23T21:37:22+00:00,3.622777777777778,2.377222222222222,archive object timestamp proxy; not operational publication evidence
gfs_20250124_00_f006_gust.grib2,2025-01-24T00:00:00+00:00,2025-01-24T06:00:00+00:00,2025-01-24T03:36:11+00:00,3.6030555555555557,2.3969444444444443,archive object timestamp proxy; not operational publication evidence
gfs_20250124_06_f006_gust.grib2,2025-01-24T06:00:00+00:00,2025-01-24T12:00:00+00:00,2025-01-24T09:34:08+00:00,3.568888888888889,2.431111111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250124_12_f006_gust.grib2,2025-01-24T12:00:00+00:00,2025-01-24T18:00:00+00:00,2025-01-24T15:34:43+00:00,3.578611111111111,2.421388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250124_18_f006_gust.grib2,2025-01-24T18:00:00+00:00,2025-01-25T00:00:00+00:00,2025-01-24T21:36:24+00:00,3.6066666666666665,2.3933333333333335,archive object timestamp proxy; not operational publication evidence
gfs_20250125_00_f006_gust.grib2,2025-01-25T00:00:00+00:00,2025-01-25T06:00:00+00:00,2025-01-25T03:36:41+00:00,3.611388888888889,2.388611111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250125_06_f006_gust.grib2,2025-01-25T06:00:00+00:00,2025-01-25T12:00:00+00:00,2025-01-25T09:34:23+00:00,3.5730555555555554,2.4269444444444446,archive object timestamp proxy; not operational publication evidence
gfs_20250125_12_f006_gust.grib2,2025-01-25T12:00:00+00:00,2025-01-25T18:00:00+00:00,2025-01-25T15:35:02+00:00,3.5838888888888887,2.4161111111111113,archive object timestamp proxy; not operational publication evidence
gfs_20250125_18_f006_gust.grib2,2025-01-25T18:00:00+00:00,2025-01-26T00:00:00+00:00,2025-01-25T21:37:40+00:00,3.6277777777777778,2.3722222222222222,archive object timestamp proxy; not operational publication evidence
gfs_20250126_00_f006_gust.grib2,2025-01-26T00:00:00+00:00,2025-01-26T06:00:00+00:00,2025-01-26T03:36:20+00:00,3.6055555555555556,2.3944444444444444,archive object timestamp proxy; not operational publication evidence
gfs_20250126_06_f006_gust.grib2,2025-01-26T06:00:00+00:00,2025-01-26T12:00:00+00:00,2025-01-26T09:34:38+00:00,3.5772222222222223,2.4227777777777777,archive object timestamp proxy; not operational publication evidence
gfs_20250126_12_f006_gust.grib2,2025-01-26T12:00:00+00:00,2025-01-26T18:00:00+00:00,2025-01-26T15:34:54+00:00,3.5816666666666666,2.4183333333333334,archive object timestamp proxy; not operational publication evidence
gfs_20250126_18_f006_gust.grib2,2025-01-26T18:00:00+00:00,2025-01-27T00:00:00+00:00,2025-01-26T21:37:12+00:00,3.62,2.38,archive object timestamp proxy; not operational publication evidence
gfs_20250127_00_f006_gust.grib2,2025-01-27T00:00:00+00:00,2025-01-27T06:00:00+00:00,2025-01-27T03:37:36+00:00,3.6266666666666665,2.3733333333333335,archive object timestamp proxy; not operational publication evidence
gfs_20250127_06_f006_gust.grib2,2025-01-27T06:00:00+00:00,2025-01-27T12:00:00+00:00,2025-01-27T09:34:51+00:00,3.5808333333333335,2.4191666666666665,archive object timestamp proxy; not operational publication evidence
gfs_20250127_12_f006_gust.grib2,2025-01-27T12:00:00+00:00,2025-01-27T18:00:00+00:00,2025-01-27T15:34:34+00:00,3.576111111111111,2.423888888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250127_18_f006_gust.grib2,2025-01-27T18:00:00+00:00,2025-01-28T00:00:00+00:00,2025-01-27T21:37:16+00:00,3.621111111111111,2.378888888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250128_00_f006_gust.grib2,2025-01-28T00:00:00+00:00,2025-01-28T06:00:00+00:00,2025-01-28T03:37:01+00:00,3.6169444444444445,2.3830555555555555,archive object timestamp proxy; not operational publication evidence
gfs_20250128_06_f006_gust.grib2,2025-01-28T06:00:00+00:00,2025-01-28T12:00:00+00:00,2025-01-28T09:34:23+00:00,3.5730555555555554,2.4269444444444446,archive object timestamp proxy; not operational publication evidence
gfs_20250128_12_f006_gust.grib2,2025-01-28T12:00:00+00:00,2025-01-28T18:00:00+00:00,2025-01-28T15:33:41+00:00,3.5613888888888887,2.4386111111111113,archive object timestamp proxy; not operational publication evidence
gfs_20250128_18_f006_gust.grib2,2025-01-28T18:00:00+00:00,2025-01-29T00:00:00+00:00,2025-01-28T21:35:35+00:00,3.5930555555555554,2.4069444444444446,archive object timestamp proxy; not operational publication evidence
gfs_20250129_00_f006_gust.grib2,2025-01-29T00:00:00+00:00,2025-01-29T06:00:00+00:00,2025-01-29T03:35:51+00:00,3.5975,2.4025,archive object timestamp proxy; not operational publication evidence
gfs_20250129_06_f006_gust.grib2,2025-01-29T06:00:00+00:00,2025-01-29T12:00:00+00:00,2025-01-29T09:32:51+00:00,3.5475,2.4525,archive object timestamp proxy; not operational publication evidence
gfs_20250129_12_f006_gust.grib2,2025-01-29T12:00:00+00:00,2025-01-29T18:00:00+00:00,2025-01-29T15:33:31+00:00,3.558611111111111,2.441388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250129_18_f006_gust.grib2,2025-01-29T18:00:00+00:00,2025-01-30T00:00:00+00:00,2025-01-29T21:35:38+00:00,3.593888888888889,2.406111111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250130_00_f006_gust.grib2,2025-01-30T00:00:00+00:00,2025-01-30T06:00:00+00:00,2025-01-30T03:35:25+00:00,3.5902777777777777,2.4097222222222223,archive object timestamp proxy; not operational publication evidence
gfs_20250130_06_f006_gust.grib2,2025-01-30T06:00:00+00:00,2025-01-30T12:00:00+00:00,2025-01-30T09:32:58+00:00,3.5494444444444446,2.4505555555555554,archive object timestamp proxy; not operational publication evidence
gfs_20250130_12_f006_gust.grib2,2025-01-30T12:00:00+00:00,2025-01-30T18:00:00+00:00,2025-01-30T15:33:20+00:00,3.5555555555555554,2.4444444444444446,archive object timestamp proxy; not operational publication evidence
gfs_20250130_18_f006_gust.grib2,2025-01-30T18:00:00+00:00,2025-01-31T00:00:00+00:00,2025-01-30T21:35:33+00:00,3.5925,2.4075,archive object timestamp proxy; not operational publication evidence
gfs_20250131_00_f006_gust.grib2,2025-01-31T00:00:00+00:00,2025-01-31T06:00:00+00:00,2025-01-31T03:35:59+00:00,3.5997222222222223,2.4002777777777777,archive object timestamp proxy; not operational publication evidence
gfs_20250131_06_f006_gust.grib2,2025-01-31T06:00:00+00:00,2025-01-31T12:00:00+00:00,2025-01-31T09:33:07+00:00,3.5519444444444446,2.4480555555555554,archive object timestamp proxy; not operational publication evidence
gfs_20250131_12_f006_gust.grib2,2025-01-31T12:00:00+00:00,2025-01-31T18:00:00+00:00,2025-01-31T15:33:29+00:00,3.5580555555555557,2.4419444444444443,archive object timestamp proxy; not operational publication evidence
gfs_20250131_18_f006_gust.grib2,2025-01-31T18:00:00+00:00,2025-02-01T00:00:00+00:00,2025-01-31T21:35:45+00:00,3.595833333333333,2.404166666666667,archive object timestamp proxy; not operational publication evidence
