gfs_file,issue_time,valid_time,last_modified_utc,archive_lag_hours,valid_minus_archive_hours,interpretation
gfs_20250101_00_f006_gust.grib2,2025-01-01T00:00:00+00:00,2025-01-01T06:00:00+00:00,2025-01-01T03:36:01+00:00,3.600277777777778,2.399722222222222,archive object timestamp proxy; not operational publication evidence
gfs_20250101_06_f006_gust.grib2,2025-01-01T06:00:00+00:00,2025-01-01T12:00:00+00:00,2025-01-01T09:34:20+00:00,3.5722222222222224,2.4277777777777776,archive object timestamp proxy; not operational publication evidence
gfs_20250101_12_f006_gust.grib2,2025-01-01T12:00:00+00:00,2025-01-01T18:00:00+00:00,2025-01-01T15:34:54+00:00,3.5816666666666666,2.4183333333333334,archive object timestamp proxy; not operational publication evidence
gfs_20250101_18_f006_gust.grib2,2025-01-01T18:00:00+00:00,2025-01-02T00:00:00+00:00,2025-01-01T21:37:41+00:00,3.6280555555555556,2.3719444444444444,archive object timestamp proxy; not operational publication evidence
gfs_20250102_00_f006_gust.grib2,2025-01-02T00:00:00+00:00,2025-01-02T06:00:00+00:00,2025-01-02T03:36:00+00:00,3.6,2.4,archive object timestamp proxy; not operational publication evidence
gfs_20250102_06_f006_gust.grib2,2025-01-02T06:00:00+00:00,2025-01-02T12:00:00+00:00,2025-01-02T09:35:16+00:00,3.5877777777777777,2.4122222222222223,archive object timestamp proxy; not operational publication evidence
gfs_20250102_12_f006_gust.grib2,2025-01-02T12:00:00+00:00,2025-01-02T18:00:00+00:00,2025-01-02T15:35:03+00:00,3.5841666666666665,2.4158333333333335,archive object timestamp proxy; not operational publication evidence
gfs_20250102_18_f006_gust.grib2,2025-01-02T18:00:00+00:00,2025-01-03T00:00:00+00:00,2025-01-02T21:38:18+00:00,3.638333333333333,2.361666666666667,archive object timestamp proxy; not operational publication evidence
gfs_20250103_00_f006_gust.grib2,2025-01-03T00:00:00+00:00,2025-01-03T06:00:00+00:00,2025-01-03T03:38:01+00:00,3.633611111111111,2.366388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250103_06_f006_gust.grib2,2025-01-03T06:00:00+00:00,2025-01-03T12:00:00+00:00,2025-01-03T09:35:04+00:00,3.5844444444444443,2.4155555555555557,archive object timestamp proxy; not operational publication evidence
gfs_20250103_12_f006_gust.grib2,2025-01-03T12:00:00+00:00,2025-01-03T18:00:00+00:00,2025-01-03T15:34:26+00:00,3.573888888888889,2.426111111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250103_18_f006_gust.grib2,2025-01-03T18:00:00+00:00,2025-01-04T00:00:00+00:00,2025-01-03T21:37:52+00:00,3.631111111111111,2.368888888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250104_00_f006_gust.grib2,2025-01-04T00:00:00+00:00,2025-01-04T06:00:00+00:00,2025-01-04T03:41:01+00:00,3.683611111111111,2.316388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250104_06_f006_gust.grib2,2025-01-04T06:00:00+00:00,2025-01-04T12:00:00+00:00,2025-01-04T09:35:04+00:00,3.5844444444444443,2.4155555555555557,archive object timestamp proxy; not operational publication evidence
gfs_20250104_12_f006_gust.grib2,2025-01-04T12:00:00+00:00,2025-01-04T18:00:00+00:00,2025-01-04T15:34:30+00:00,3.575,2.425,archive object timestamp proxy; not operational publication evidence
gfs_20250104_18_f006_gust.grib2,2025-01-04T18:00:00+00:00,2025-01-05T00:00:00+00:00,2025-01-04T21:37:37+00:00,3.6269444444444443,2.3730555555555557,archive object timestamp proxy; not operational publication evidence
gfs_20250105_00_f006_gust.grib2,2025-01-05T00:00:00+00:00,2025-01-05T06:00:00+00:00,2025-01-05T03:39:11+00:00,3.6530555555555555,2.3469444444444445,archive object timestamp proxy; not operational publication evidence
gfs_20250105_06_f006_gust.grib2,2025-01-05T06:00:00+00:00,2025-01-05T12:00:00+00:00,2025-01-05T09:35:24+00:00,3.59,2.41,archive object timestamp proxy; not operational publication evidence
gfs_20250105_12_f006_gust.grib2,2025-01-05T12:00:00+00:00,2025-01-05T18:00:00+00:00,2025-01-05T15:34:51+00:00,3.5808333333333335,2.4191666666666665,archive object timestamp proxy; not operational publication evidence
gfs_20250105_18_f006_gust.grib2,2025-01-05T18:00:00+00:00,2025-01-06T00:00:00+00:00,2025-01-05T21:44:03+00:00,3.734166666666667,2.265833333333333,archive object timestamp proxy; not operational publication evidence
gfs_20250106_00_f006_gust.grib2,2025-01-06T00:00:00+00:00,2025-01-06T06:00:00+00:00,2025-01-06T03:37:07+00:00,3.618611111111111,2.381388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250106_06_f006_gust.grib2,2025-01-06T06:00:00+00:00,2025-01-06T12:00:00+00:00,2025-01-06T09:35:54+00:00,3.598333333333333,2.401666666666667,archive object timestamp proxy; not operational publication evidence
gfs_20250106_12_f006_gust.grib2,2025-01-06T12:00:00+00:00,2025-01-06T18:00:00+00:00,2025-01-06T15:35:02+00:00,3.5838888888888887,2.4161111111111113,archive object timestamp proxy; not operational publication evidence
gfs_20250106_18_f006_gust.grib2,2025-01-06T18:00:00+00:00,2025-01-07T00:00:00+00:00,2025-01-06T21:38:49+00:00,3.6469444444444443,2.3530555555555557,archive object timestamp proxy; not operational publication evidence
gfs_20250107_00_f006_gust.grib2,2025-01-07T00:00:00+00:00,2025-01-07T06:00:00+00:00,2025-01-07T03:43:35+00:00,3.7263888888888888,2.2736111111111112,archive object timestamp proxy; not operational publication evidence
gfs_20250107_06_f006_gust.grib2,2025-01-07T06:00:00+00:00,2025-01-07T12:00:00+00:00,2025-01-07T09:34:55+00:00,3.5819444444444444,2.4180555555555556,archive object timestamp proxy; not operational publication evidence
gfs_20250107_12_f006_gust.grib2,2025-01-07T12:00:00+00:00,2025-01-07T18:00:00+00:00,2025-01-07T15:34:25+00:00,3.573611111111111,2.426388888888889,archive object timestamp proxy; not operational publication evidence
gfs_20250107_18_f006_gust.grib2,2025-01-07T18:00:00+00:00,2025-01-08T00:00:00+00:00,2025-01-07T21:36:28+00:00,3.6077777777777778,2.3922222222222222,archive object timestamp proxy; not operational publication evidence
gfs_20250108_00_f006_gust.grib2,2025-01-08T00:00:00+00:00,2025-01-08T06:00:00+00:00,2025-01-08T03:36:03+00:00,3.6008333333333336,2.3991666666666664,archive object timestamp proxy; not operational publication evidence
gfs_20250108_06_f006_gust.grib2,2025-01-08T06:00:00+00:00,2025-01-08T12:00:00+00:00,2025-01-08T09:34:17+00:00,3.571388888888889,2.428611111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250108_12_f006_gust.grib2,2025-01-08T12:00:00+00:00,2025-01-08T18:00:00+00:00,2025-01-08T15:34:22+00:00,3.5727777777777776,2.4272222222222224,archive object timestamp proxy; not operational publication evidence
gfs_20250108_18_f006_gust.grib2,2025-01-08T18:00:00+00:00,2025-01-09T00:00:00+00:00,2025-01-08T21:36:53+00:00,3.6147222222222224,2.3852777777777776,archive object timestamp proxy; not operational publication evidence
gfs_20250109_00_f006_gust.grib2,2025-01-09T00:00:00+00:00,2025-01-09T06:00:00+00:00,2025-01-09T03:36:26+00:00,3.607222222222222,2.392777777777778,archive object timestamp proxy; not operational publication evidence
gfs_20250109_06_f006_gust.grib2,2025-01-09T06:00:00+00:00,2025-01-09T12:00:00+00:00,2025-01-09T09:34:18+00:00,3.5716666666666668,2.4283333333333332,archive object timestamp proxy; not operational publication evidence
gfs_20250109_12_f006_gust.grib2,2025-01-09T12:00:00+00:00,2025-01-09T18:00:00+00:00,2025-01-09T15:34:23+00:00,3.5730555555555554,2.4269444444444446,archive object timestamp proxy; not operational publication evidence
gfs_20250109_18_f006_gust.grib2,2025-01-09T18:00:00+00:00,2025-01-10T00:00:00+00:00,2025-01-09T21:38:12+00:00,3.6366666666666667,2.3633333333333333,archive object timestamp proxy; not operational publication evidence
gfs_20250110_00_f006_gust.grib2,2025-01-10T00:00:00+00:00,2025-01-10T06:00:00+00:00,2025-01-10T03:38:13+00:00,3.6369444444444445,2.3630555555555555,archive object timestamp proxy; not operational publication evidence
gfs_20250110_06_f006_gust.grib2,2025-01-10T06:00:00+00:00,2025-01-10T12:00:00+00:00,2025-01-10T09:36:02+00:00,3.6005555555555557,2.3994444444444443,archive object timestamp proxy; not operational publication evidence
gfs_20250110_12_f006_gust.grib2,2025-01-10T12:00:00+00:00,2025-01-10T18:00:00+00:00,2025-01-10T15:35:56+00:00,3.598888888888889,2.401111111111111,archive object timestamp proxy; not operational publication evidence
gfs_20250110_18_f006_gust.grib2,2025-01-10T18:00:00+00:00,2025-01-11T00:00:00+00:00,2025-01-10T21:37:59+00:00,3.6330555555555555,2.3669444444444445,archive object timestamp proxy; not operational publication evidence
