scenario,controller,station,block,completed,total_tasks,deadline_misses,tardiness,idle_blocks,busy_blocks,crane_blocks,cancellations,starts,mismatch_blocks,aborted_blocks,makespan,cost,cost_idle,cost_cancel,cost_tardy,cost_mismatch,cost_restart,tuned_param
base,operating_limit,225,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,225,5,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,225,6,10,10,0,0,48,12,60,3,13,5,5,28,8.71,0.9600000000000005,1.5,0.0,5.0,1.25,
base,operating_limit,225,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,225,8,10,10,0,0,38,22,60,0,10,12,12,23,15.76,0.7600000000000003,0.0,0.0,12.0,3.0,
base,operating_limit,225,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,225,10,10,10,0,0,51,9,60,1,11,0,0,15,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,225,11,10,10,0,0,55,5,60,5,15,0,0,29,3.6000000000000005,1.1000000000000005,2.5,0.0,0.0,0.0,
base,operating_limit,225,12,10,10,0,0,49,11,60,0,10,1,1,12,2.2300000000000004,0.9800000000000005,0.0,0.0,1.0,0.25,
base,operating_limit,225,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,225,14,10,10,0,0,50,10,60,0,10,0,0,13,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,225,15,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,225,16,10,10,0,0,51,9,60,1,11,0,0,14,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,235,0,10,10,5,42,52,8,60,2,12,0,0,38,14.64,1.0400000000000005,1.0,12.6,0.0,0.0,
base,operating_limit,235,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,3,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,4,10,10,0,0,51,9,60,1,11,0,0,14,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,235,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,6,10,10,8,43,53,7,60,3,13,0,0,23,15.46,1.0600000000000005,1.5,12.9,0.0,0.0,
base,operating_limit,235,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,8,10,10,0,0,50,10,60,1,11,1,1,15,2.7500000000000004,1.0000000000000004,0.5,0.0,1.0,0.25,
base,operating_limit,235,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,10,10,10,0,0,51,9,60,1,11,0,0,15,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,235,11,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,12,10,10,0,0,51,9,60,1,11,0,0,14,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,235,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,14,10,10,0,0,52,8,60,2,12,0,0,16,2.0400000000000005,1.0400000000000005,1.0,0.0,0.0,0.0,
base,operating_limit,235,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,235,16,10,10,8,56,51,9,60,2,12,1,1,28,20.07,1.0200000000000005,1.0,16.8,1.0,0.25,
base,operating_limit,240,0,10,10,2,4,46,14,60,0,10,4,4,24,7.120000000000001,0.9200000000000005,0.0,1.2,4.0,1.0,
base,operating_limit,240,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,3,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,240,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,6,10,10,0,0,51,9,60,1,11,0,0,16,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,240,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,8,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,10,10,10,0,0,48,12,60,0,10,2,2,14,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,240,11,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,12,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,240,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,14,10,10,0,0,44,16,60,1,11,7,7,20,10.13,0.8800000000000004,0.5,0.0,7.0,1.75,
base,operating_limit,240,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,240,16,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,0,10,10,0,0,49,11,60,3,13,4,4,40,7.48,0.9800000000000005,1.5,0.0,4.0,1.0,
base,operating_limit,242,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,3,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,4,10,10,0,0,51,9,60,1,11,0,0,14,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,242,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,6,10,10,0,0,49,11,60,1,11,2,2,23,3.9800000000000004,0.9800000000000005,0.5,0.0,2.0,0.5,
base,operating_limit,242,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,8,10,10,0,0,46,14,60,1,11,5,5,19,7.67,0.9200000000000005,0.5,0.0,5.0,1.25,
base,operating_limit,242,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,10,10,10,0,0,50,10,60,2,12,2,2,25,4.5,1.0000000000000004,1.0,0.0,2.0,0.5,
base,operating_limit,242,11,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,242,12,10,10,0,0,50,10,60,2,12,2,2,21,4.5,1.0000000000000004,1.0,0.0,2.0,0.5,
base,operating_limit,242,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,14,10,10,0,0,46,14,60,2,12,6,6,32,9.42,0.9200000000000005,1.0,0.0,6.0,1.5,
base,operating_limit,242,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,242,16,10,10,2,16,51,9,60,2,12,1,1,29,8.07,1.0200000000000005,1.0,4.8,1.0,0.25,
base,operating_limit,248,0,10,10,3,29,52,8,60,2,12,0,0,32,10.74,1.0400000000000005,1.0,8.7,0.0,0.0,
base,operating_limit,248,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,3,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,6,10,10,8,28,51,9,60,2,12,1,1,22,11.670000000000002,1.0200000000000005,1.0,8.4,1.0,0.25,
base,operating_limit,248,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,8,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,10,10,10,0,0,51,9,60,1,11,0,0,15,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,248,11,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,12,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,248,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,14,10,10,3,9,50,10,60,3,13,3,3,25,8.95,1.0000000000000004,1.5,2.6999999999999997,3.0,0.75,
base,operating_limit,248,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,248,16,10,10,0,0,51,9,60,2,12,1,1,22,3.2700000000000005,1.0200000000000005,1.0,0.0,1.0,0.25,
base,operating_limit,249,0,10,10,3,19,52,8,60,2,12,0,0,30,7.74,1.0400000000000005,1.0,5.7,0.0,0.0,
base,operating_limit,249,1,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,2,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,3,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,6,10,10,3,8,49,11,60,0,10,1,1,19,4.630000000000001,0.9800000000000005,0.0,2.4,1.0,0.25,
base,operating_limit,249,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,8,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,9,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,10,10,10,0,0,49,11,60,1,11,2,2,18,3.9800000000000004,0.9800000000000005,0.5,0.0,2.0,0.5,
base,operating_limit,249,11,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,12,10,10,0,0,48,12,60,0,10,2,2,13,3.4600000000000004,0.9600000000000005,0.0,0.0,2.0,0.5,
base,operating_limit,249,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,14,10,10,0,0,48,12,60,2,12,4,4,20,6.960000000000001,0.9600000000000005,1.0,0.0,4.0,1.0,
base,operating_limit,249,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,249,16,10,10,1,1,51,9,60,1,11,0,0,14,1.8200000000000005,1.0200000000000005,0.5,0.3,0.0,0.0,
base,operating_limit,251,0,10,10,0,0,48,12,60,1,11,3,3,20,5.210000000000001,0.9600000000000005,0.5,0.0,3.0,0.75,
base,operating_limit,251,1,10,10,1,7,51,9,60,1,11,0,0,32,3.6200000000000006,1.0200000000000005,0.5,2.1,0.0,0.0,
base,operating_limit,251,2,10,10,1,5,51,9,60,1,11,0,0,27,3.0200000000000005,1.0200000000000005,0.5,1.5,0.0,0.0,
base,operating_limit,251,3,10,10,3,17,49,11,60,1,11,2,2,22,9.08,0.9800000000000005,0.5,5.1,2.0,0.5,
base,operating_limit,251,4,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,5,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,6,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,7,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,8,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,9,10,10,0,0,51,9,60,3,13,2,2,32,5.0200000000000005,1.0200000000000005,1.5,0.0,2.0,0.5,
base,operating_limit,251,10,10,10,0,0,48,12,60,1,11,3,3,19,5.210000000000001,0.9600000000000005,0.5,0.0,3.0,0.75,
base,operating_limit,251,11,10,10,0,0,48,12,60,1,11,3,3,29,5.210000000000001,0.9600000000000005,0.5,0.0,3.0,0.75,
base,operating_limit,251,12,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,13,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,14,10,10,0,0,51,9,60,1,11,0,0,13,1.5200000000000005,1.0200000000000005,0.5,0.0,0.0,0.0,
base,operating_limit,251,15,10,10,0,0,50,10,60,0,10,0,0,11,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,
base,operating_limit,251,16,10,10,2,5,51,9,60,1,11,0,0,17,3.0200000000000005,1.0200000000000005,0.5,1.5,0.0,0.0,
